CustomerID,Age,Gender,City,SubscriptionType,MonthlySpending,Tenure,NumberOfPurchases,CustomerSupportRequests,LoginFrequency,LastActivityDate,SatisfactionScore,PaymentMethod,DeviceType,AutoRenew,ChurnStatus
CUST1101,54,Male,Rawalpindi,Basic,27.58,46,70,7,10.0,2026-06-17,5.0,Debit Card,Android,No,No
CUST1102,25,Female,Faisalabad,Standard,54.31,45,65,9,2.0,2025-12-26,5.0,EasyPaisa,iPhone,No,No
CUST1103,26,Male,Rawalpindi,Premium,83.91,42,62,2,17.0,2026-06-08,2.0,Credit Card,Web,No,No
CUST1104,64,Male,Lahore,Premium,138.81,11,14,8,2.0,2026-05-12,1.0,Debit Card,iPhone,No,Yes
CUST1105,42,Male,Islamabad,Basic,18.17,15,25,5,7.0,2026-05-15,3.0,EasyPaisa,iPhone,Yes,No
CUST1106,30,Female,Faisalabad,Premium,74.92,45,80,9,2.0,2026-06-15,2.0,Bank Transfer,Android,Yes,Yes
CUST1107,41,Male,Quetta,Standard,64.02,59,85,8,12.0,2026-03-13,3.0,EasyPaisa,Android,No,No
CUST1108,44,Female,Rawalpindi,Basic,27.62,58,92,9,9.0,2026-03-31,3.0,EasyPaisa,iPhone,No,No
CUST1109,53,Female,Multan,Standard,40.35,2,2,10,16.0,2026-03-25,1.0,Credit Card,Web,Yes,Yes
CUST1110,62,Male,Quetta,Basic,25.22,10,20,4,28.0,2026-06-04,4.0,JazzCash,iPhone,No,No
CUST1111,29,Female,Lahore,Standard,43.84,26,37,7,26.0,2026-05-23,2.0,Debit Card,iPhone,No,No
CUST1112,29,Female,Islamabad,Basic,25.17,7,16,10,25.0,2026-06-17,2.0,Debit Card,iPhone,Yes,Yes
CUST1113,34,Male,Faisalabad,Premium,112.16,29,41,10,19.0,2026-04-01,2.0,JazzCash,iPhone,Yes,No
CUST1114,61,Female,Rawalpindi,Standard,66.38,37,49,8,4.0,2026-01-06,3.0,Bank Transfer,Android,Yes,Yes
CUST1115,32,Female,Faisalabad,Basic,27.36,24,44,1,14.0,2026-03-20,4.0,Bank Transfer,iPhone,Yes,No
CUST1116,25,Male,Islamabad,Standard,60.44,3,1,7,27.0,2026-06-04,2.0,Bank Transfer,iPhone,Yes,Yes
CUST1117,61,Female,Rawalpindi,Standard,39.02,60,94,5,21.0,2026-02-02,5.0,EasyPaisa,iPhone,No,No
CUST1118,30,Male,Quetta,Basic,23.61,18,39,10,12.0,2026-06-10,1.0,Credit Card,iPhone,No,Yes
CUST1119,39,Male,Quetta,Basic,12.06,46,66,5,21.0,2026-01-12,4.0,JazzCash,Android,Yes,No
CUST1120,50,Female,Lahore,Basic,17.01,33,47,6,1.0,2026-03-07,2.0,Debit Card,iPhone,No,Yes
CUST1121,61,Male,Quetta,Standard,58.26,6,14,8,5.0,2026-04-10,1.0,Credit Card,iPhone,No,Yes
CUST1122,45,Female,Rawalpindi,Basic,26.3,7,13,5,25.0,2026-03-07,2.0,Bank Transfer,Web,Yes,No
CUST1123,31,Male,Karachi,Basic,14.94,13,29,8,12.0,2026-03-13,3.0,Debit Card,Web,No,No
CUST1124,62,Female,Faisalabad,Standard,56.35,51,69,7,8.0,2026-03-20,3.0,Bank Transfer,iPhone,Yes,No
CUST1125,32,Male,Peshawar,Basic,27.37,31,52,9,28.0,2026-01-20,4.0,EasyPaisa,iPhone,No,No
CUST1126,49,Male,Rawalpindi,Basic,17.91,36,45,2,25.0,2026-05-12,5.0,JazzCash,Web,Yes,No
CUST1127,38,Male,Lahore,Basic,24.32,48,69,6,9.0,2026-01-06,4.0,Debit Card,Web,Yes,No
CUST1128,62,Male,Multan,Basic,,14,9,1,,2026-04-16,,Bank Transfer,Android,No,Yes
CUST1129,52,Male,Faisalabad,Basic,25.47,56,85,3,12.0,2026-04-02,3.0,Debit Card,Web,Yes,No
CUST1130,27,Male,Karachi,Standard,35.83,5,10,0,24.0,2025-12-28,4.0,JazzCash,Android,Yes,No
CUST1131,54,Female,Faisalabad,Standard,58.22,56,77,5,11.0,2026-05-15,3.0,EasyPaisa,iPhone,No,No
CUST1132,37,Female,Faisalabad,Standard,38.99,37,54,0,18.0,2026-05-09,4.0,Debit Card,Android,Yes,No
CUST1133,51,Male,Karachi,Premium,116.41,56,86,10,17.0,2026-05-07,4.0,JazzCash,Web,Yes,No
CUST1134,33,Female,Karachi,Standard,36.5,21,32,5,4.0,2026-01-01,2.0,Credit Card,Web,No,Yes
CUST1135,27,Female,Karachi,Basic,26.62,47,67,7,16.0,2026-05-19,4.0,Bank Transfer,Android,Yes,No
CUST1136,18,Male,Peshawar,Standard,45.75,5,1,1,17.0,2026-06-08,1.0,Credit Card,Android,No,Yes
CUST1137,26,Male,Faisalabad,Basic,12.18,34,55,5,13.0,2026-01-31,4.0,Bank Transfer,iPhone,No,No
CUST1138,58,Male,Islamabad,Premium,100.05,54,74,0,11.0,2026-01-11,2.0,EasyPaisa,Web,Yes,No
CUST1139,49,Male,Islamabad,Basic,11.46,35,58,7,13.0,2026-03-28,2.0,Debit Card,iPhone,Yes,Yes
CUST1140,43,Female,Quetta,Standard,66.57,29,37,1,15.0,2026-03-26,5.0,JazzCash,Web,Yes,No
CUST1141,23,Female,Karachi,Standard,50.85,21,23,6,10.0,2026-05-01,5.0,JazzCash,Web,Yes,No
CUST1142,32,Female,Faisalabad,Basic,13.89,14,12,3,13.0,2026-02-05,3.0,EasyPaisa,Web,Yes,No
CUST1143,33,Female,Rawalpindi,Standard,46.0,13,19,3,25.0,2026-04-08,1.0,Bank Transfer,Web,Yes,No
CUST1144,56,Male,Peshawar,Standard,34.28,42,58,5,0.0,2026-01-31,4.0,EasyPaisa,iPhone,Yes,No
CUST1145,39,Female,Faisalabad,Premium,88.25,9,12,9,23.0,2026-01-20,2.0,Credit Card,Android,No,No
CUST1146,33,Male,Karachi,Basic,16.04,24,34,9,24.0,2026-04-13,2.0,Bank Transfer,iPhone,Yes,No
CUST1147,64,Male,Islamabad,Premium,107.83,21,37,0,21.0,2026-02-03,5.0,Bank Transfer,Web,Yes,No
CUST1148,26,Female,Faisalabad,Standard,49.87,2,6,1,2.0,2026-05-28,2.0,EasyPaisa,Web,No,Yes
CUST1149,63,Male,Rawalpindi,Standard,53.14,39,50,3,7.0,2026-03-16,5.0,Credit Card,Web,Yes,No
CUST1150,23,Male,Peshawar,Basic,20.38,2,1,4,7.0,2026-04-24,2.0,Bank Transfer,iPhone,Yes,Yes
CUST1151,20,Female,Multan,Basic,17.57,38,58,0,2.0,2026-05-16,2.0,JazzCash,iPhone,Yes,Yes
CUST1152,22,Male,Faisalabad,Standard,38.04,16,16,6,15.0,2026-05-29,4.0,Credit Card,Web,No,No
CUST1153,45,Male,Quetta,Basic,24.74,56,74,0,24.0,2026-05-20,5.0,JazzCash,iPhone,Yes,No
CUST1154,50,Male,Quetta,Standard,36.37,14,19,1,8.0,2026-04-07,5.0,Debit Card,Web,Yes,No
CUST1155,20,Female,Multan,Basic,22.01,55,80,5,2.0,2026-06-09,3.0,JazzCash,Android,Yes,No
CUST1156,64,Male,Karachi,Standard,55.12,30,47,3,13.0,2026-02-11,1.0,EasyPaisa,Web,Yes,No
CUST1157,52,Female,Multan,Premium,121.28,25,40,1,24.0,2026-03-03,5.0,Credit Card,Web,Yes,No
CUST1158,33,Female,Multan,Basic,20.05,41,64,1,7.0,2025-12-30,5.0,Debit Card,Android,Yes,No
CUST1159,29,Female,Quetta,Basic,16.24,14,25,3,17.0,2026-03-20,5.0,JazzCash,Web,Yes,No
CUST1160,60,Female,Karachi,Standard,36.08,51,69,8,1.0,2026-03-30,3.0,Debit Card,Android,Yes,Yes
CUST1161,26,Male,Faisalabad,Basic,16.07,51,77,6,15.0,2026-03-12,4.0,Credit Card,Web,Yes,No
CUST1162,56,Female,Rawalpindi,Basic,23.11,38,51,3,30.0,2026-06-07,5.0,Bank Transfer,Web,Yes,No
CUST1163,24,Male,Faisalabad,Standard,30.44,2,1,10,20.0,2026-01-05,5.0,Debit Card,Web,Yes,No
CUST1164,22,Male,Faisalabad,Basic,14.82,21,30,0,27.0,2026-05-18,3.0,EasyPaisa,Web,Yes,No
CUST1165,35,Female,Islamabad,Basic,17.89,38,54,9,20.0,2026-06-04,2.0,EasyPaisa,Android,No,Yes
CUST1166,26,Male,Lahore,Standard,33.06,33,49,10,22.0,2026-04-03,2.0,Bank Transfer,iPhone,Yes,No
CUST1167,34,Female,Peshawar,Standard,36.01,32,52,0,22.0,2026-02-12,5.0,EasyPaisa,Android,No,No
CUST1168,62,Male,Quetta,Basic,10.71,20,25,3,10.0,2026-05-01,4.0,Bank Transfer,Web,No,No
CUST1169,60,Female,Faisalabad,Standard,63.22,8,18,9,5.0,2026-03-09,4.0,Credit Card,Web,No,No
CUST1170,42,Male,Karachi,Standard,30.42,36,60,8,24.0,2026-02-01,2.0,Debit Card,iPhone,No,No
CUST1171,44,Female,Karachi,Standard,53.3,31,49,1,10.0,2026-01-19,2.0,Credit Card,iPhone,Yes,No
CUST1172,57,Male,Multan,Basic,22.26,22,34,2,13.0,2026-02-22,1.0,EasyPaisa,Web,Yes,No
CUST1173,56,Male,Rawalpindi,Premium,90.18,13,18,4,29.0,2026-03-24,4.0,Bank Transfer,iPhone,No,No
CUST1174,39,Female,Faisalabad,Standard,34.32,21,35,2,22.0,2026-03-16,4.0,EasyPaisa,iPhone,Yes,No
CUST1175,20,Male,Multan,Standard,57.56,39,61,8,4.0,2026-06-18,2.0,Debit Card,Android,No,Yes
CUST1176,18,Female,Quetta,Basic,27.6,34,52,6,26.0,2026-02-04,3.0,Debit Card,Android,Yes,No
CUST1177,53,Female,Karachi,Standard,31.41,17,18,8,1.0,2026-04-12,5.0,Credit Card,Web,No,No
CUST1178,36,Male,Karachi,Basic,18.97,20,26,9,4.0,2026-06-17,5.0,EasyPaisa,iPhone,Yes,No
CUST1179,62,Female,Lahore,Standard,49.24,14,24,2,23.0,2026-02-21,5.0,Debit Card,Web,No,No
CUST1180,41,Female,Multan,Standard,40.79,60,95,2,21.0,2026-02-24,5.0,JazzCash,iPhone,No,No
CUST1181,48,Female,Quetta,Standard,44.94,30,37,6,16.0,2026-05-05,1.0,Debit Card,Web,Yes,Yes
CUST1182,28,Male,Rawalpindi,Basic,13.47,6,15,10,14.0,2026-01-28,4.0,Bank Transfer,Web,Yes,No
CUST1183,22,Male,Rawalpindi,Basic,16.69,13,22,10,16.0,2026-01-25,5.0,Credit Card,Web,Yes,No
CUST1184,59,Male,Multan,Basic,17.54,37,41,4,3.0,2026-01-09,2.0,JazzCash,iPhone,No,Yes
CUST1185,18,Female,Lahore,Basic,11.15,46,65,8,30.0,2026-03-05,4.0,Credit Card,Android,Yes,No
CUST1186,59,Female,Multan,Basic,14.94,28,36,8,12.0,2026-03-06,4.0,Credit Card,Android,No,No
CUST1187,37,Female,Karachi,Standard,43.84,50,65,0,26.0,2026-01-23,2.0,Bank Transfer,Web,No,No
CUST1188,59,Female,Rawalpindi,Standard,54.98,37,49,7,16.0,2026-02-01,3.0,Bank Transfer,Android,No,No
CUST1189,58,Male,Karachi,Standard,46.72,57,88,6,21.0,2026-05-24,1.0,Credit Card,Android,Yes,No
CUST1190,60,Male,Peshawar,Standard,51.74,6,11,9,20.0,2026-04-16,5.0,Debit Card,iPhone,No,No
CUST1191,27,Female,Quetta,Basic,23.02,22,30,7,14.0,2026-04-19,4.0,Bank Transfer,iPhone,No,No
CUST1192,49,Male,Faisalabad,Basic,16.6,46,70,3,27.0,2026-05-24,3.0,EasyPaisa,Android,Yes,No
CUST1193,43,Male,Peshawar,Standard,33.77,3,1,7,11.0,2025-12-23,1.0,Debit Card,Web,Yes,Yes
CUST1194,40,Male,Islamabad,Basic,25.51,51,73,7,23.0,2026-03-28,4.0,JazzCash,Android,Yes,No
CUST1195,25,Male,Lahore,Basic,28.3,40,57,1,9.0,2026-06-14,4.0,JazzCash,iPhone,No,No
CUST1196,33,Male,Faisalabad,Premium,92.15,40,72,6,7.0,2026-03-03,5.0,JazzCash,Web,Yes,No
CUST1197,36,Female,Lahore,Standard,50.21,16,24,0,30.0,2026-01-10,5.0,EasyPaisa,Android,No,No
CUST1198,21,Female,Multan,Premium,122.49,27,37,3,24.0,2026-02-08,4.0,Debit Card,iPhone,Yes,No
CUST1199,52,Male,Rawalpindi,Premium,135.53,50,76,5,18.0,2025-12-28,4.0,JazzCash,Android,Yes,No
CUST1200,61,Female,Lahore,Basic,19.88,3,4,4,27.0,2026-05-18,2.0,Credit Card,Android,Yes,Yes
CUST1201,58,Male,Peshawar,Basic,22.28,23,39,5,16.0,2026-03-22,5.0,JazzCash,Web,No,No
CUST1202,52,Male,Rawalpindi,Standard,34.25,35,50,6,5.0,2026-03-26,1.0,JazzCash,Android,No,Yes
CUST1203,20,Female,Karachi,Standard,42.21,21,32,2,24.0,2026-01-27,5.0,EasyPaisa,iPhone,No,No
CUST1204,56,Male,Islamabad,Basic,27.98,51,77,6,26.0,2026-03-13,3.0,Debit Card,iPhone,Yes,No
CUST1205,25,Female,Islamabad,Basic,26.05,59,91,3,16.0,2025-12-27,1.0,Debit Card,iPhone,Yes,No
CUST1206,36,Female,Islamabad,Standard,57.97,28,37,6,24.0,2026-02-21,4.0,Bank Transfer,Web,Yes,No
CUST1207,55,Male,Faisalabad,Basic,15.27,9,18,0,23.0,2026-04-04,4.0,Credit Card,iPhone,Yes,No
CUST1208,47,Male,Rawalpindi,Basic,27.54,2,7,8,23.0,2026-06-10,5.0,Credit Card,iPhone,Yes,No
CUST1209,63,Female,Faisalabad,Standard,32.55,20,38,4,2.0,2026-02-04,4.0,Credit Card,Android,Yes,No
CUST1210,21,Male,Lahore,Basic,29.12,8,1,5,11.0,2026-01-22,1.0,Bank Transfer,iPhone,Yes,Yes
CUST1211,57,Male,Islamabad,Basic,25.78,51,79,3,22.0,2026-04-15,4.0,JazzCash,iPhone,No,No
CUST1212,39,Female,Karachi,Basic,19.46,41,72,5,21.0,2026-06-15,1.0,Debit Card,Android,Yes,No
CUST1213,43,Male,Quetta,Basic,19.39,57,86,0,2.0,2026-05-03,3.0,EasyPaisa,Android,Yes,No
CUST1214,63,Male,Multan,Standard,63.76,33,54,0,29.0,2026-06-12,2.0,Bank Transfer,iPhone,No,No
CUST1215,41,Male,Lahore,Standard,34.55,51,73,10,6.0,2026-02-02,1.0,EasyPaisa,Web,Yes,Yes
CUST1216,30,Male,Multan,Basic,17.8,19,32,4,12.0,2026-03-10,4.0,EasyPaisa,Android,No,No
CUST1217,45,Female,Faisalabad,Basic,22.73,23,33,6,16.0,2026-01-11,4.0,Debit Card,iPhone,Yes,No
CUST1218,53,Female,Faisalabad,Basic,18.38,20,28,2,14.0,2026-05-01,1.0,Debit Card,Web,Yes,No
CUST1219,28,Male,Karachi,Standard,35.55,9,17,8,6.0,2026-06-19,4.0,Bank Transfer,iPhone,Yes,No
CUST1220,46,Female,Islamabad,Standard,35.69,17,27,10,0.0,2026-05-03,5.0,Debit Card,Android,Yes,No
CUST1221,48,Male,Peshawar,Standard,32.7,21,41,5,10.0,2026-04-09,2.0,JazzCash,Web,Yes,No
CUST1222,55,Female,Multan,Basic,25.97,3,15,8,30.0,2026-03-13,3.0,Debit Card,Web,Yes,No
